Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2409","AUO CORP","Information Technology","Equity","7,299,218.01","0.03","7,299,218.01","17,813,000.00","0.41","Taiwan","Taiwan Stock Exchange","TWD"
"AUBANK","AU SMALL FINANCE BANK LTD","Financials","Equity","7,284,598.48","0.03","7,284,598.48","890,459.00","8.18","India","National Stock Exchange Of India","INR"
"902","HUANENG POWER INTERNATIONAL INC H","Utilities","Equity","7,271,272.73","0.03","7,271,272.73","9,998,000.00","0.73","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1548","GENSCRIPT BIOTECH CORP","Health Care","Equity","7,272,796.54","0.03","7,272,796.54","3,198,000.00","2.27","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1519","FORTUNE ELECTRIC LTD","Industrials","Equity","7,262,133.41","0.03","7,262,133.41","358,160.00","20.28","Taiwan","Taiwan Stock Exchange","TWD"
"272210","HANWHA SYSTEMS LTD","Industrials","Equity","7,245,895.66","0.03","7,245,895.66","197,596.00","36.67","Korea (South)","Korea Exchange (Stock Market)","KRW"
"042700","HANMI SEMICONDUCTOR LTD","Information Technology","Equity","7,206,214.21","0.03","7,206,214.21","123,213.00","58.49","Korea (South)","Korea Exchange (Stock Market)","KRW"
"YKBNK.E","YAPI VE KREDI BANKASI A","Financials","Equity","7,190,958.61","0.03","7,190,958.61","8,846,665.00","0.81","Turkey","Istanbul Stock Exchange","TRY"
"002714","MUYUAN FOODS LTD A","Consumer Staples","Equity","7,161,706.49","0.03","7,161,706.49","932,381.00","7.68","China","Shenzhen Stock Exchange","CNY"
"TORNTPOWER","TORRENT POWER LTD","Utilities","Equity","7,156,497.40","0.03","7,156,497.40","500,168.00","14.31","India","National Stock Exchange Of India","INR"
"QIIK","QATAR INTERNATIONAL ISLAMIC BANK","Financials","Equity","7,158,972.01","0.03","7,158,972.01","2,325,229.00","3.08","Qatar","Qatar Exchange","QAR"
"UNOMINDA","UNO MINDA LTD","Consumer Discretionary","Equity","7,155,168.02","0.03","7,155,168.02","480,066.00","14.90","India","National Stock Exchange Of India","INR"
"6181","LAOPU GOLD LTD H","Consumer Discretionary","Equity","7,138,528.14","0.02","7,138,528.14","76,500.00","93.31","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SWB","SUNWAY BHD","Industrials","Equity","7,128,119.29","0.02","7,128,119.29","6,121,200.00","1.16","Malaysia","Bursa Malaysia","MYR"
"138930","BNK FINANCIAL GROUP INC","Financials","Equity","7,127,072.29","0.02","7,127,072.29","681,178.00","10.46","Korea (South)","Korea Exchange (Stock Market)","KRW"
"TCELL.E","TURKCELL ILETISIM HIZMETLERI A","Communication","Equity","7,099,602.56","0.02","7,099,602.56","3,130,289.00","2.27","Turkey","Istanbul Stock Exchange","TRY"
"KTB.R","KRUNG THAI BANK PUBLIC NON-VOTING","Financials","Equity","7,095,228.41","0.02","7,095,228.41","9,206,700.00","0.77","Thailand","Stock Exchange Of Thailand","THB"
"MTM","MOMENTUM GROUP LTD","Financials","Equity","7,090,553.16","0.02","7,090,553.16","3,534,477.00","2.01","South Africa","Johannesburg Stock Exchange","ZAR"
